ProductId,UserId,Score,Summary
B0009XLVG0,A2725IB4YY9JEB,5,"My cats LOVE this ""diet"" food better than their regular food"
B001GVISJM,A18ECVX2RJ7HUE,4,fresh and greasy!
B001GVISJM,A2MUGFV2TDQ47K,5,Strawberry Twizzlers - Yummy
B001GVISJM,A2A9X58G2GTBLP,5,GREAT SWEET CANDY!
B001EO5QW8,AOVROBZ8BNTP7,4,Best of the Instant Oatmeals
B001EO5QW8,A1MYS9LFFBIYKM,5,Love Gluten Free Oatmeal!!!
B001EO5QW8,A2G7B7FKP2O2PU,5,Great taste and convenience
B001EO5QW8,A39Z97950MCTQE,3,Hearty Oatmeal
B001EO5QW8,AQLL2R1PPR46X,5,good
B001EO5QW8,ALOR97KTZTK1P,4,Very good but next time I won't order the Variety Pack
B001EO5QW8,A276999Y6VRSCQ,3,Same stuff
B000G6RPMY,A9L6L5H9BPEBO,4,You'll go nuts over Ass-Kickin' Peanuts.
B004X2KR36,A2W3ABLWMJ84NS,5,Good
B004X2KR36,A26M5O53PHZTKN,5,Taste great
B004K2IHUO,AVCA516CFZ9HF,4,TART!
B001REEG6C,AY12DBB0U420B,5,My Idea of a Good Diet Food.
B003SE19UK,A1QAJ948PN36II,5,Wonderful food - perfect for allergic kitties
B002SRYRE8,A198FU6P1BVUNZ,5,Tastes awesome & looks beautiful
B001GVISJW,A2YIO225BTKVPU,4,Good Licorice
B001GVISJW,A1Z54EM24Y40LL,5,Great for the kids!
B001GVISJW,A281387UUS2IN5,3,Bite sized
B000ITVLE2,A3NID9D9WMIV01,5,tastes very fresh
B000ITVLE2,A5X6PJANY4XW4,5,"Right size, taste"
B0025VRCJY,A3L9ZT7SRJYLVH,4,ReaLemon Juice from Amazon.
B005CJVVJ8,A3BSTFFIKK5YTW,4,Never paid that much !
B004V6AH34,A3POAWC2JPQQQP,5,great taste and has health benefits!
B0028C44Z0,A3BJ9NS09YGQT5,1,These just don't do it for me as breath mints
B0009XLVGA,A1NHQNQ3TVXTZF,1,CHANGED FORMULA MAKES CATS SICK!!!!
B003SO503C,A3OXRFCJI67IMN,5,Really Nice Taste!
B003ZFXJDW,AJ94Y22SUFCGU,5,Big tub o' salt
B001EO5ZMY,AF72GTWZGAC61,5,Excellent loose tea.
B007TFONH0,AMRNVZKWF6519,5,Wonderful!
B000LKZK7C,A2NP8RNW9T5BQF,1,Lie!!!!
B000LKZK7C,A1L4RDILGM7D9E,4,Excellent but not perfect
B000LKZK7C,A2582KMXLK2P06,5,great
B001D07IPG,A27UE9HJRZ22YI,1,Over priced chips and lack rice taste
B000H13270,A1YLOZQKBX3J1S,3,too expensive
B000H13270,AVQIRN6E7J7UA,3,Not mild enough for me lol
